,Pitch,F1,F2,F3,F4,,,
Raiva,1.24042557804129,6.50073866362188,16.2021170795827,25.7909743134337,34.495642723534395,,,
Raiva,0.783828740157521,4.39653484499183,12.5777148708255,20.2397209331563,25.731872346748098,,,
Raiva,0.8918086084588349,4.835306525136209,14.956111563921402,23.0313183500965,32.245199023141396,,,35.64% de acerto
Raiva,1.6270491301734,6.74411284783486,19.7591150580606,31.7219762059551,43.9410396529805,,,Exluiu bastante tédio
Raiva,1.4920758907398999,5.2834120804737505,15.9513819555755,26.291053317045304,37.7124990666644,,,
Raiva,1.1537706505593401,6.395797887263809,16.8374389937711,26.0726268115996,35.1685226514878,,,
Raiva,0.529992834386443,4.711702290556921,12.1364861487736,19.6900721762041,25.9715038133762,,,
Raiva,1.18524113857543,6.173887440416889,18.4142874370141,28.170036688733802,39.191898549436296,,,
Raiva,1.37184344365112,6.1836567185007,20.257631263353698,29.493232133018697,40.035278036510796,,,
Raiva,1.0751254596699398,5.42190796130685,14.9595648684936,24.974263687293803,34.0930275929033,,,
Raiva,0.9034282640364251,7.70257965787896,19.2893439015892,33.8485413317691,44.0035917344918,,,
Raiva,0.636396960942338,5.772418407508121,14.1358027549196,23.5144292731814,31.342852320966397,,,
Raiva,1.5355527633261299,8.01248398563125,22.061085752704702,32.6985501991709,42.9326805681333,,,
Raiva,0.7550220598198522,7.96122309321738,21.4316195499456,32.1933717894202,41.598206866593706,,,
Raiva,0.529763359536327,4.54148622710801,12.391617088588099,20.5316660133464,27.101071179808503,,,
Raiva,1.0535311916991401,8.19782642417544,22.807141567281104,36.980575551947496,47.561284571942394,,,
Raiva,1.35058760182045,7.39054049147897,18.727721446963102,27.7822780673699,35.2080791928509,,,
Raiva,0.6789959159117919,5.913089553271741,15.0643185672931,24.853008387186698,31.8851634239984,,,
Raiva,0.452752121312204,6.384601101788781,15.6136114896193,22.4241601579529,29.5013403045903,,,
Raiva,1.2485394333735802,6.51405000008005,18.805810490547604,30.4094994666142,41.0617301014285,,,
Raiva,0.735372480779658,6.28923337321478,17.0392194044326,26.0437569101653,34.7200035336195,,,
Raiva,1.17022103664316,6.70492195806324,15.807482669793698,25.642108175545395,36.4045530720457,,,
Raiva,1.4706942850099098,8.925807116992699,22.422596924963898,34.6383427002068,45.7045828007611,,,
Raiva,0.7668420092815359,7.46674984917418,19.9096541499097,31.375016994940502,40.9178611984655,,,
Raiva,4.5460172911797,16.237522480041598,17.0482779338442,18.852429622498104,52.7272609427795,,,
Raiva,0.588786257259976,7.76979702617302,16.4985655052286,24.2224592460295,32.1847147171174,,,
Raiva,0.6752651503081051,9.14657849201613,22.3756563737745,31.3767106026566,40.416786431907894,,,
Raiva,0.80984705031875,4.21475534858853,11.7502952623997,19.6737083496553,25.7568637308017,,,
Tedio,2.1614459433038102,33.765831375770304,74.4372345102529,113.035268423377,148.585442446161,,,
Tedio,1.8484344775767299,27.421774296185397,59.139324583178606,87.33483174049542,111.26550853484501,,,
Tedio,1.75054751873014,23.9299590637993,55.7190562549331,83.6736471416969,114.79658787792499,,,
Nojo,4.45279473054324,19.7573262925785,47.98521913079679,76.8058405016302,105.453551675169,,,
Nojo,1.8360382569834097,17.879114254074,40.450051564837295,57.466058567982294,75.81260944596309,,,
Nojo,3.0838972171085204,19.869228521208104,50.839270535716494,73.4346838335632,98.0606182067,,,
Nojo,2.26241468871577,14.7393164230691,34.467252075183204,55.1146178828302,75.737983826758,,,
Nojo,2.17424950004297,16.0966987694216,37.6514075898544,59.802509303795794,79.4247762663466,,,
Nojo,3.17758307737265,14.4163874216684,41.8069981509335,65.8121109830755,89.07366239677981,,,
Nojo,2.51955201064028,15.488701783355902,40.699445634871104,62.557857507220405,81.4248963638745,,,
Nojo,2.42144802185001,13.8554718296983,37.8909307319169,57.6552543691631,78.1673892898559,,,
Nojo,2.7640030777301403,17.6978834863501,42.525781157046204,63.3401386749445,83.57177752210801,,,
Nojo,3.01425147593712,17.970174512971898,45.6472918365102,65.159692913149,88.44243387158171,,,
Nojo,3.3091131345688303,13.875910203428301,40.7467844784835,58.688114490806704,82.4202794700411,,,
Nojo,1.1581065379430602,16.1002973396189,42.4648168619491,65.0367873479785,80.46495290165849,,,
Nojo,2.57302358265726,16.1932229315727,39.2029774119085,58.516193772149705,79.91306177969051,,,
Nojo,2.7851577589931296,16.4372188854248,44.8836039495187,68.58925313012321,95.60857964783399,,,
Nojo,3.2078603551146,18.0249285407688,50.1716693915193,72.49470234209791,90.4772384626578,,,
Nojo,1.68808073793773,17.592245533003,40.928081841201504,59.010209212846604,75.02363207408759,,,
Nojo,2.5713746745514903,15.3099677225545,36.6839387273489,53.3561805403309,76.1157822543087,,,
Nojo,2.02183350154799,22.695042929848498,51.1836587940545,76.9364550851738,101.491186254964,,,
Nojo,3.2917386587708597,12.8384959734573,35.9995489039785,55.1445994037606,78.07397725391671,,,
Medo,1.9944057421594799,9.94783922740198,28.857862073765897,43.8136806772817,59.47328474498671,,,
Medo,2.5458354000801404,12.5606741479749,31.0857047230122,48.841398970872,63.9963830232104,,,
Medo,1.49231378822586,15.751911238329,35.446726631830295,53.4840573290428,69.7968826282995,,,
Medo,1.66608353001645,13.6994560982507,30.57518795085,49.0441984518814,59.217197588882,,,
Medo,1.11226266477052,10.8118687612785,25.020487680289,37.9675053615676,48.61882661537021,,,
Medo,1.8507829751367102,10.068501817011802,26.1031737594602,37.7102628743096,52.3983396679278,,,
Medo,2.21099815951544,14.4522313905884,32.4613187838144,50.321906456566495,64.95864652555049,,,
Medo,2.12723329659996,10.3649637610192,25.366233138557,37.8063046309205,48.3848999536792,,,
Medo,2.90246647228443,9.000828364769811,26.3888405192348,41.7060017321784,59.283064615071794,,,
Medo,1.7975130059702,11.721100094168301,30.435409336176,44.36668327443579,60.2136377473783,,,
Medo,2.1173804794145,10.4314052699382,27.5000679789436,41.382278362171,58.607393352216604,,,
Medo,2.46140256559654,13.9352429297778,34.9897115489192,49.75181357301479,70.2337944879736,,,
Medo,2.3508093583742498,13.7711429868839,35.1117342789572,51.566381552582904,70.91888814921579,,,
Medo,6.589300837494591,23.5357486836154,24.710911743621804,27.3259696001065,76.4264107316875,,,
Medo,1.32332230209765,10.832105665538199,27.9810415734207,43.724720000321895,52.048071750870896,,,
Medo,1.62201995714228,10.0374556574339,26.732443968502803,39.0040430341708,53.699501496373394,,,
Medo,1.25550128595878,11.083264567829302,29.877966154211602,45.7672674680598,60.1465768663819,,,
